tractid,dmg_wind_total_tract_1971,dmg_wind_total_tract_2021,dmg_wind_total_tract_2071,dmg_wind_total_tract_1971_mlt7,dmg_wind_total_tract_2021_mlt7,dmg_wind_total_tract_2071_mlt7,affected_wind_over5k_tract_1971,affected_wind_over5k_tract_2021,affected_wind_over5k_tract_2071,dmg_wind_total_residential_tract_1971,dmg_wind_total_residential_tract_2021,dmg_wind_total_residential_tract_2071,dmg_wind_total_commercial_tract_1971,dmg_wind_total_commercial_tract_2021,dmg_wind_total_commercial_tract_2071,dmg_wind_total_industrial_tract_1971,dmg_wind_total_industrial_tract_2021,dmg_wind_total_industrial_tract_2071,dmg_wind_total_public_tract_1971,dmg_wind_total_public_tract_2021,dmg_wind_total_public_tract_2071,dmg_cc_wind_total_tract_1971to2021_ratio_mlt,dmg_cc_wind_total_tract_2021to2071_ratio_mlt,dmg_surge_total_tract_1971,dmg_surge_total_tract_2021,dmg_surge_total_tract_2071,dmg_surge_total_tract_1971_mlt7,dmg_surge_total_tract_2021_mlt7,dmg_surge_total_tract_2071_mlt7,affected_surge_over5k_tract_1971,affected_surge_over5k_tract_2021,affected_surge_over5k_tract_2071,dmg_surge_total_residential_tract_1971,dmg_surge_total_residential_tract_2021,dmg_surge_total_residential_tract_2071,dmg_surge_total_commercial_tract_1971,dmg_surge_total_commercial_tract_2021,dmg_surge_total_commercial_tract_2071,dmg_surge_total_industrial_tract_1971,dmg_surge_total_industrial_tract_2021,dmg_surge_total_industrial_tract_2071,dmg_surge_total_public_tract_1971,dmg_surge_total_public_tract_2021,dmg_surge_total_public_tract_2071,dmg_cc_surge_total_tract_1971to2021_ratio_mlt,dmg_cc_surge_total_tract_2021to2071_ratio_mlt
22057020704,1295367.4567068531,1716696.4422231638,4136782.337490374,1M - 10M,1M - 10M,1M - 10M,35,53,296,1071397.653916358,1423057.0089031805,3461749.4371837084,181745.57722290335,232356.83049438655,453497.6296900178,35642.82939633315,51723.626946831726,190170.62893637072,6581.39617125857,9558.97587876488,31364.641680277928,25 to 49%,100% or more,41375.1833,41375.1833,41375.1833,1 - 350K,1 - 350K,1 - 350K,1,1,1,0,0,0,41375.1833,41375.1833,41375.1833,0,0,0,0,0,0,Low Damage,Low Damage
22101041300,16749.615852037812,18465.990100995237,22337.673252929908,1 - 350K,1 - 350K,1 - 350K,0,0,4,12719.898772684412,13938.510326806878,16900.8581863712,0,0,0,4029.7170793534,4527.479774188361,5436.815066558708,0,0,0,Low Damage,Low Damage,34611.5749,34611.5749,35107.1002,1 - 350K,1 - 350K,1 - 350K,2,2,2,34611.5749,34611.5749,35107.1002,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22101040600,111308.3652325515,126456.4251528954,171033.87616378182,1 - 350K,1 - 350K,1 - 350K,11,12,20,96276.84312814508,108846.41565364522,146478.66409408418,15031.522104406426,17610.009499250165,24555.21206969765,0,0,0,0,0,0,0 to 24%,25 to 49%,24330.2326,24418.7876,24950.082,1 - 350K,1 - 350K,1 - 350K,1,1,1,0,0,0,24330.2326,24418.7876,24950.082,0,0,0,0,0,0,Low Damage,Low Damage
22007050202,11085.733432322497,12776.261101696367,17852.873929748406,1 - 350K,1 - 350K,1 - 350K,1,1,2,3923.8221430517697,4535.304134474234,6553.133824952567,7161.911289270726,8240.956967222133,11299.740104795836,0,0,0,0,0,0,Low Damage,Low Damage,23567.9743,23682.6864,24026.8405,1 - 350K,1 - 350K,1 - 350K,2,2,2,23567.9743,23682.6864,24026.8405,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22101041200,36665.33961625222,39848.00307886022,48020.68377814446,1 - 350K,1 - 350K,1 - 350K,3,4,6,15313.59017329236,16744.73384227368,20337.032901748637,21351.749442959856,23103.269236586544,27683.650876395823,0,0,0,0,0,0,Low Damage,Low Damage,22521.0851,22701.0075,23600.664,1 - 350K,1 - 350K,1 - 350K,1,1,1,22521.0851,22701.0075,23600.664,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22023970203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,17753.0614,18059.9601,18520.3126,1 - 350K,1 - 350K,1 - 350K,1,1,1,17753.0614,18059.9601,18520.3126,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22057021700,63527354.0013148,87998793.98749937,185018251.68058652,> 50M,> 50M,> 50M,1438,1481,1507,38842164.39691728,53669339.535756394,113165706.34514786,15605990.96775386,21505312.43053356,45320979.30189894,881203.5745514055,1154299.7674970438,2291041.224534042,8197995.062092249,11669842.253712373,24240524.809005648,25 to 49%,100% or more,16402.5932,17871.386899999998,340331.1317,1 - 350K,1 - 350K,1 - 350K,1,1,13,16402.5932,17871.386899999998,340331.1317,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22051027812,95498.1980769194,109565.5880529995,153546.22019910245,1 - 350K,1 - 350K,1 - 350K,5,5,8,83433.16291965701,95600.40278174973,133501.43962210522,0,0,0,0,0,0,12065.035157262388,13965.185271249771,20044.780576997226,0 to 24%,25 to 49%,6970.3553999999995,7106.6411,7515.4804,1 - 350K,1 - 350K,1 - 350K,1,1,1,6970.3553999999995,7106.6411,7515.4804,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22113950600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,6091.8186,6123.5827,6282.4121,1 - 350K,1 - 350K,1 - 350K,1,1,1,6091.8186,6123.5827,6282.4121,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22113950202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,5176.0353000000005,5176.0353000000005,5176.0353000000005,1 - 350K,1 - 350K,1 - 350K,1,1,1,5176.0353000000005,5176.0353000000005,5176.0353000000005,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22053000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage,5028.144,5028.144,5028.144,1 - 350K,1 - 350K,1 - 350K,1,1,1,5028.144,5028.144,5028.144,0,0,0,0,0,0,0,0,0,Low Damage,Low Damage
22103040900,47249.472925096314,54244.24788873093,83046.58445661482,1 - 350K,1 - 350K,1 - 350K,3,4,9,32185.077519800605,36635.68777780793,53184.00758991607,15064.395405295709,17608.56011092301,29862.576866698742,0,0,0,0,0,0,Low Damage,Low Damage,0,0,6625413.2317,0,0,1M - 10M,0,0,209,0,0,5776210.983,0,0,689251.155,0,0,20730.3339,0,0,139220.7598,No Damage,10.0% or more
22005030102,2009385.243776152,2623198.411632918,6522957.183920281,1M - 10M,1M - 10M,1M - 10M,68,123,478,1366690.4046094115,1727245.805307058,4048853.515133011,565957.0101869111,781785.6903367477,2112617.9386878763,5809.303591693362,8783.594609841637,24828.869843926692,70928.52538813622,105383.32137926992,336656.8602554669,25 to 49%,100% or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage
22005030104,144861.1925323512,189047.2375978313,406200.8869609199,1 - 350K,1 - 350K,350K - 1M,9,10,26,67927.94160572428,84132.94292726491,152108.54849030997,70675.5804220697,97006.35024297691,232845.5757623824,0,0,0,6257.670504557229,7907.944427589435,21246.762708227485,25 to 49%,100% or more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Damage,No Damage
